// Made by SnakeInTheMirror
// Default profile(no sea), makes a little bit of everything but sea

//UNIVERSAL WEIGHTS/LIMITS

Weight NOAI 0.0
Weight AIBOOST 0.0
//COMM ONLY WEIGHTS
Weight AIAMEXC 1.0
Weight AIAUWMEXC 1.0
Weight AICMEXC 1.0
Weight AICUWMEXC 1.0
//ECONOMY WEIGHTS
Weight E10 0.8
Weight E15 0.3
Weight E20 1.0
Weight E25 0.3
Weight E30 0.8
Weight CTRL_I 0.4
Weight ARMMEX 1.0
Weight CORMEX 1.0
Weight ARMESTOR 0.4
Weight CORESTOR 0.4
Weight ARMMSTOR 0.0
Weight CORMSTOR 0.0
Weight ARMUWMEX 1.0
Weight CORUWMEX 1.0
Weight ARMUWES 0.4
Weight CORUWES 0.4
Weight ARMUWMS 0.0
Weight CORUWMS 0.0
Weight ARMMOHO 0.1
Weight CORMOHO 0.1
Weight ARMUMOHO 0.1
Weight CORUMOHO 0.1
Weight ARMMAN 1.0
Weight ARMXSTOR 0.6
Weight CORMAN 1.0
Weight CORXSTOR 0.6
Weight ARMMEXUP 0.4
Weight CORMEXUP 0.4
Weight ARMUWMEXUP 0.0
Weight CORUWMEXUP 0.4
Weight ARMMOHOUP 0.6
Weight CORMOHOUP 0.6
Weight ARMUMOHOUP 0.0
Weight CORUMOHOUP 0.0
//LAB WEIGHTS
Weight ARMLAB 0.8
Weight CORLAB 0.8
Weight ARMVP 0.8
Weight CORVP 0.8
Weight ARMAP 0.3
Weight CORAP 0.3
Weight ARMSY 0.0
Weight CORSY 0.0
Weight ARMHP 0.1
Weight CORHP 0.1
Weight ARMHPNS 0.1
Weight CORHPNS 0.1
Weight ARMSPLAB 0.4
Weight CORTP 0.4
Weight ARMALAB 0.4
Weight CORALAB 0.4
Weight ARMAVP 0.4
Weight CORAVP 0.4
Weight ARMAAP 0.2
Weight CORAAP 0.2
Weight ARMASY 0.0
Weight CORASY 0.0
Weight ARMAHP 0.4
Weight CORAHP 0.4
Weight ARMAHPNS 0.4
Weight CORAHPNS 0.4
Weight ARMPLAT 0.2
Weight CORPLAT 0.2
Weight ARMSHLT 0.6
Weight CORGANT 0.6
Weight ARMXVP 0.6
Weight CORXVP 0.6
Weight ARMXAP 0.6
Weight CORXAP 0.6
Weight ARMXHP 0.6
Weight ARMXHPNS 0.6
Weight CORXHP 0.6
Weight CORXHPNS 0.6
Weight ARMXSY 0.0
Weight CORXSY 0.0
//DEFENSE STRUCTURE WEIGHTS
Weight ARMRAD 0.1
Weight CORRAD 0.1
Weight ARMSONAR 0.1
Weight CORSONAR 0.1
Weight ARMLLT 0.8
Weight CORLLT 0.8
Weight ARMRL 0.8
Weight CORRL 0.8
Weight ARMHLT 0.4
Weight CORHLT 0.4
Weight ARMGUARD 0.2
Weight CORPUN 0.2
Weight ARMEMG 0.6
Weight CORPLAS 0.6
Weight ARMFURY 0.6
Weight CORSCYTHE 0.6
Weight ARMMEDPC 0.6
Weight CORMPGUN 0.6
Weight ARMCENT 0.2
Weight CORBCRAT 0.2
Weight ARMTL 0.4
Weight CORTL 0.4
Weight ARMFRT 0.8
Weight CORFRT 0.8
Weight ARMFHLT 0.4
Weight CORFHLT 0.4
Weight ARMARAD 0.1
Weight CORARAD 0.1
Weight ARMASON 0.1
Weight CORASON 0.1
Weight ARMAMD 0.9
Weight CORFMD 0.9
Weight ARMSILO 0.3
Weight CORSILO 0.3
Weight ARMEMP 0.0
Weight CORTRON 0.0
Weight ARMJAMT 0.4
Weight CORJAMT 0.4
Weight ARMARL 0.7
Weight CORARL 0.7
Weight ARMFLAK 0.7
Weight CORFLAK 0.7
Weight ARMANNI 0.6
Weight CORDOOM 0.6
Weight ARMBRTHA 0.8
Weight CORINT 0.8
Weight ARMARTIC 0.4
Weight CORVIPE 0.4
Weight ARMARCH 0.5
Weight CORCIRC 0.5
Weight ARMAMB 0.5
Weight CORKRAK 0.5
Weight ARMTRID 0.5
Weight CORTOAST 0.5
Weight ARMAARP 0.0
Weight CORAARP 0.0
Weight ARMATL 0.4
Weight CORATL 0.4
Weight ARMAFRT 0.8
Weight CORAFRT 0.8
Weight ARMXRAD 0.1
Weight CORXRAD 0.1
Weight ARMTARG 0.4
Weight CORTARG 0.4
Weight ARMDORA 0.2
Weight CORNATOR 0.2
Weight ARMVULC 0.4
Weight CORBUZZ 0.4
Weight ARMRAAMS 0.6
Weight CORSCRM 0.6
Weight ARMLPRIS 0.1
Weight CORDARK 0.1
//CONSTRUCTOR UNIT WEIGHTS
Weight ARMCK 0.7
Weight CORCK 0.7
Weight ARMCKAIM 1.0
Weight CORCKAIM 1.0
Weight ARMCV 0.7
Weight CORCV 0.7
Weight ARMCVAIM 1.0
Weight CORCVAIM 1.0
Weight ARMCA 0.7
Weight CORCA 0.7
Weight ARMCAAIM 1.0
Weight CORCAAIM 1.0
Weight ARMCS 0.0
Weight CORCS 0.0
Weight ARMCH 0.7
Weight CORCH 0.7
Weight ARMCHAIM 1.0
Weight CORCHAIM 1.0
Weight ARMSPDC 0.7
Weight CORCTORT 0.7
Weight ARMSPDCAIM 1.0
Weight CORCTORTAIM 1.0
Weight ARMACK 1.0
Weight CORACK 1.0
Weight ARMACV 1.0
Weight CORACV 1.0
Weight ARMACA 1.0
Weight CORACA 1.0
Weight ARMCSA 1.0
Weight CORCSA 1.0
Weight ARMACSUB 0.0
Weight CORACSUB 0.0
Weight ARMACH 1.0
Weight CORACH 1.0
Weight ARMXCK 1.0
Weight CORXCK 1.0
Weight ARMXCV 1.0
Weight CORXCV 1.0
Weight ARMXCH 1.0
Weight CORXCH 1.0
Weight ARMXCA 1.0
Weight CORXCA 1.0
Weight ARMXCS 0.0
Weight CORXCS 0.0

//LIMITS

Limit NOAI 0
Limit AIBOOST 0
//COMM ONLY LIMITS
Limit AIAMEXC 3
Limit AIAUWMEXC 3
Limit AICMEXC 3
Limit AICUWMEXC 3
//ECONOMY LIMITS
Limit ARMSOLAR 8
Limit CORSOLAR 8
Limit ARMPOPSOL 16
Limit CORMGEN 16
Limit ARMESTOR 8
Limit CORESTOR 8
Limit ARMMSTOR 0
Limit CORMSTOR 0
Limit ARMTIDE 8
Limit CORTIDE 8
Limit ARMATIDE 16
Limit CORATIDE 16
Limit ARMUWES 8
Limit CORUWES 8
Limit ARMUWMS 0
Limit CORUWMS 0
Limit ARMWIN 32
Limit CORWIN 32
Limit ARMFUS 42
Limit CORFUS 42
Limit ARMMMKR 16
Limit CORMMKR 16
Limit ARMUWFUS 42
Limit CORUWFUS 42
Limit ARMUMMM 16
Limit CORUMMM 16
Limit ARMXFUS 4
Limit ARMXSTOR 4
Limit CORXFUS 4
Limit CORXSTOR 4
Limit ARMMEXUP 13
Limit CORMEXUP 13
Limit ARMUWMEXUP 0
Limit CORUWMEXUP 0
Limit ARMMOHOUP 8
Limit CORMOHOUP 8
Limit ARMUMOHOUP 0
Limit CORUMOHOUP 0
//LAB LIMITS
Limit ARMLAB 8
Limit CORLAB 8
Limit ARMVP 8
Limit CORVP 8
Limit ARMAP 4
Limit CORAP 4
Limit ARMSY 0
Limit CORSY 0
Limit ARMHP 4
Limit CORHP 4
Limit ARMHPNS 4
Limit CORHPNS 4
Limit ARMSPLAB 2
Limit CORTP 2
Limit ARMALAB 4
Limit CORALAB 4
Limit ARMAVP 4
Limit CORAVP 4
Limit ARMAAP 2
Limit CORAAP 2
Limit ARMASY 0
Limit CORASY 0
Limit ARMAHP 2
Limit CORAHP 2
Limit ARMAHPNS 2
Limit CORAHPNS 2
Limit ARMPLAT 2
Limit CORPLAT 2
Limit ARMSHLT 2
Limit CORGANT 2
Limit ARMXVP 2
Limit CORXVP 2
Limit ARMXAP 2
Limit CORXAP 2
Limit ARMXHP 2
Limit ARMXHPNS 2
Limit CORXHP 2
Limit CORXHPNS 2
Limit ARMXSY 0
Limit CORXSY 0
//DEFENSE STRUCTURE LIMITS
Limit ARMRAD 4
Limit CORRAD 4
Limit ARMSONAR 4
Limit CORSONAR 4
Limit ARMLLT 8
Limit CORLLT 8
Limit ARMRL 16
Limit CORRL 16
Limit ARMHLT 6
Limit CORHLT 6
Limit ARMGUARD 2
Limit CORPUN 2
Limit ARMEMG 8
Limit CORPLAS 8
Limit ARMFURY 16
Limit CORSCYTHE 16
Limit ARMMEDPC 6
Limit CORMPGUN 6
Limit ARMCENT 4
Limit CORBCRAT 4
Limit ARMTL 0
Limit CORTL 0
Limit ARMFRT 6
Limit CORFRT 6
Limit ARMFHLT 3
Limit CORFHLT 3
Limit ARMARAD 4
Limit CORARAD 4
Limit ARMASON 4
Limit CORASON 4
Limit ARMAMD 4
Limit CORFMD 4
Limit ARMSILO 2
Limit CORSILO 2
Limit ARMEMP 0
Limit CORTRON 0
Limit ARMJAMT 4
Limit CORJAMT 4
Limit ARMARL 8
Limit CORARL 8
Limit ARMFLAK 8
Limit CORFLAK 8
Limit ARMANNI 6
Limit CORDOOM 6
Limit ARMBRTHA 5
Limit CORINT 5
Limit ARMARTIC 4
Limit CORVIPE 4
Limit ARMARCH 5
Limit CORCIRC 5
Limit ARMAMB 3
Limit ARMTRID 3
Limit CORKRAK 3
Limit CORTOAST 3
Limit ARMAARP 0
Limit CORAARP 0
Limit ARMATL 0
Limit CORATL 0
Limit ARMAFRT 8
Limit CORAFRT 8
Limit ARMXRAD 4
Limit CORXRAD 4
Limit ARMTARG 1
Limit CORTARG 1
Limit ARMDORA 2
Limit CORNATOR 2
Limit ARMVULC 2
Limit CORBUZZ 2
Limit ARMRAAMS 6
Limit CORSCRM 6
Limit ARMLPRIS 4
Limit CORDARK 4
//CON UNIT LIMITS
Limit ARMCK 3
Limit ARMCKAIM 5
Limit CORCK 3
Limit CORCKAIM 5
Limit ARMCV 3
Limit ARMCVAIM 5
Limit CORCV 3
Limit CORCVAIM 5
Limit ARMCA 3
Limit ARMCAAIM 5
Limit CORCA 3
Limit CORCAAIM 5
Limit ARMCS 0
Limit CORCS 0
Limit ARMCH 3
Limit ARMCHAIM 5
Limit CORCH 3
Limit CORCHAIM 5
Limit ARMSPDC 3
Limit ARMSPDCAIM 5
Limit CORCTORT 3
Limit CORCTORTAIM 5
Limit ARMACK 5
Limit CORACK 5
Limit ARMACV 5
Limit CORACV 5
Limit ARMACA 5
Limit CORACA 5
Limit ARMCSA 5
Limit CORCSA 5
Limit ARMACSUB 0
Limit CORACSUB 0
Limit ARMACH 5
Limit CORACH 5
Limit ARMXCK 3
Limit CORXCK 3
Limit ARMXCV 3
Limit CORXCV 3
Limit ARMXCH 3
Limit CORXCH 3
Limit ARMXCA 3
Limit CORXCA 3
Limit ARMXCS 0
Limit CORXCS 0
//LEVEL 1 VEHICLE LIMITS
Limit ARMMLV 0
Limit CORMLV 0
//LEVEL 1 AIRCRAFT LIMITS
Limit ARMPEEP 0
Limit CORFINK 0
Limit ARMATLAS 0
Limit CORVALK 0
//LEVEL 1 SHIP LIMITS
Limit ARMTSHIP 0
Limit CORTSHIP 0
//LEVEL 1 SPIDER LIMITS
Limit ARMSPDR 0
Limit ARMSPDJ 0
Limit ARMARSPD 0
//LEVEL 1 TORTOISE LIMITS
Limit CORSCAN 0
Limit CORTJAM 0
Limit CORTNT 0
Limit CORAIRRT 0
//LEVEL 1 HOVER LIMITS
Limit ARMTHOVR 0
Limit CORTHOVR 0
//LEVEL 2 KBOT LIMITS
Limit ARMVADER 0
Limit CORROACH 0
Limit AMASER 0
Limit CORSPEC 0
Limit ARMMARK 0
Limit CORVOYR 0
Limit ARMSPY 0
Limit CORSPY 0
Limit ARMFARK 0
Limit CORNECRO 0
Limit ARMDECOM 2
Limit CORDECOM 2
//LEVEL 2 VEHICLE LIMITS
Limit ARMJAM 0
Limit CORETER 0
Limit ARMSEER 0
Limit CORVRAD 0
//LEVEL 2 AIRCRAFT LIMITS
