// Made by SnakeInTheMirror
// Waterworld profile, only things that go in water

//UNIVERSAL WEIGHTS/LIMITS

Weight NOAI 0.0
Weight AIBOOST 0.0
//COMM ONLY WEIGHTS
Weight AIAMEXC 0.0
Weight AIAUWMEXC 1.0
Weight AICMEXC 0.0
Weight AICUWMEXC 1.0
//ECONOMY WEIGHTS
Weight E10 0.8
Weight E15 0.3
Weight E20 1.0
Weight E25 0.3
Weight E30 0.8
Weight CTRL_I 0.4
Weight ARMMEX 0.0
Weight CORMEX 0.0
Weight ARMESTOR 0.0
Weight CORESTOR 0.0
Weight ARMMSTOR 0.0
Weight CORMSTOR 0.0
Weight ARMUWMEX 1.0
Weight CORUWMEX 1.0
Weight ARMUWES 0.4
Weight CORUWES 0.4
Weight ARMUWMS 0.0
Weight CORUWMS 0.0
Weight ARMMOHO 0.0
Weight CORMOHO 0.0
Weight ARMUMOHO 0.1
Weight CORUMOHO 0.1
Weight ARMMAN 0.0
Weight ARMXSTOR 0.0
Weight CORMAN 0.0
Weight CORXSTOR 0.0
Weight ARMMEXUP 0.0
Weight CORMEXUP 0.0
Weight ARMUWMEXUP 0.4
Weight CORUWMEXUP 0.4
Weight ARMMOHOUP 0.0
Weight CORMOHOUP 0.0
Weight ARMUMOHOUP 0.6
Weight CORUMOHOUP 0.6
Weight ARMMEXUP 0.0
Weight CORMEXUP 0.0
Weight ARMUWMEXUP 0.4
Weight CORUWMEXUP 0.4
Weight ARMMOHOUP 0.0
Weight CORMOHOUP 0.0
Weight ARMUMOHOUP 0.6
Weight CORUMOHOUP 0.6
//LAB WEIGHTS
Weight ARMLAB 0.0
Weight CORLAB 0.0
Weight ARMVP 0.0
Weight CORVP 0.0
Weight ARMAP 0.0
Weight CORAP 0.0
Weight ARMSY 0.8
Weight CORSY 0.8
Weight ARMHP 0.0
Weight CORHP 0.0
Weight ARMHPNS 0.4
Weight CORHPNS 0.4
Weight ARMSPLAB 0.0
Weight CORTP 0.0
Weight ARMALAB 0.0
Weight CORALAB 0.0
Weight ARMAVP 0.0
Weight CORAVP 0.0
Weight ARMAAP 0.0
Weight CORAAP 0.0
Weight ARMASY 0.8
Weight CORASY 0.8
Weight ARMAHP 0.0
Weight CORAHP 0.0
Weight ARMAHPNS 0.4
Weight CORAHPNS 0.4
Weight ARMPLAT 0.2
Weight CORPLAT 0.2
Weight ARMSHLT 0.0
Weight CORGANT 0.0
Weight ARMXVP 0.0
Weight CORXVP 0.0
Weight ARMXAP 0.0
Weight CORXAP 0.0
Weight ARMXHP 0.0
Weight ARMXHPNS 0.6
Weight CORXHP 0.0
Weight CORXHPNS 0.6
Weight ARMXSY 0.6
Weight CORXSY 0.6
//DEFENSE STRUCTURE WEIGHTS
Weight ARMRAD 0.0
Weight CORRAD 0.0
Weight ARMSONAR 0.1
Weight CORSONAR 0.1
Weight ARMLLT 0.0
Weight CORLLT 0.0
Weight ARMRL 0.0
Weight CORRL 0.0
Weight ARMHLT 0.0
Weight CORHLT 0.0
Weight ARMGUARD 0.0
Weight CORPUN 0.0
Weight ARMEMG 0.0
Weight CORPLAS 0.0
Weight ARMFURY 0.0
Weight CORSCYTHE 0.0
Weight ARMMEDPC 0.0
Weight CORMPGUN 0.0
Weight ARMCENT 0.0
Weight CORBCRAT 0.0
Weight ARMTL 0.4
Weight CORTL 0.4
Weight ARMFRT 0.8
Weight CORFRT 0.8
Weight ARMFHLT 0.4
Weight CORFHLT 0.4
Weight ARMARAD 0.0
Weight CORARAD 0.0
Weight ARMASON 0.1
Weight CORASON 0.1
Weight ARMAMD 0.0
Weight CORFMD 0.0
Weight ARMSILO 0.0
Weight CORSILO 0.0
Weight ARMEMP 0.0
Weight CORTRON 0.0
Weight ARMJAMT 0.0
Weight CORJAMT 0.0
Weight ARMARL 0.0
Weight CORARL 0.0
Weight ARMFLAK 0.0
Weight CORFLAK 0.0
Weight ARMANNI 0.0
Weight CORDOOM 0.0
Weight ARMBRTHA 0.0
Weight CORINT 0.0
Weight ARMARTIC 0.0
Weight CORVIPE 0.0
Weight ARMARCH 0.0
Weight CORCIRC 0.0
Weight ARMAMB 0.0
Weight CORKRAK 0.5
Weight ARMTRID 0.5
Weight CORTOAST 0.0
Weight ARMAARP 0.0
Weight CORAARP 0.0
Weight ARMATL 0.4
Weight CORATL 0.4
Weight ARMAFRT 0.8
Weight CORAFRT 0.8
Weight ARMXRAD 0.0
Weight CORXRAD 0.0
Weight ARMTARG 0.0
Weight CORTARG 0.0
Weight ARMDORA 0.0
Weight CORNATOR 0.0
Weight ARMVULC 0.0
Weight CORBUZZ 0.0
Weight ARMRAAMS 0.0
Weight CORSCRM 0.0
Weight ARMLPRIS 0.0
Weight CORDARK 0.0
//CONSTRUCTOR UNIT WEIGHTS
Weight ARMCK 0.0
Weight CORCK 0.0
Weight ARMCKAIM 0.0
Weight CORCKAIM 0.0
Weight ARMCV 0.0
Weight CORCV 0.0
Weight ARMCVAIM 0.0
Weight CORCVAIM 0.0
Weight ARMCA 0.0
Weight CORCA 0.0
Weight ARMCAAIM 0.0
Weight CORCAAIM 0.0
Weight ARMCS 1.0
Weight CORCS 1.0
Weight ARMCH 0.7
Weight CORCH 0.7
Weight ARMCHAIM 1.0
Weight CORCHAIM 1.0
Weight ARMSPDC 0.0
Weight CORCTORT 0.0
Weight ARMSPDCAIM 0.0
Weight CORCTORTAIM 0.0
Weight ARMACK 0.0
Weight CORACK 0.0
Weight ARMACV 0.0
Weight CORACV 0.0
Weight ARMACA 0.0
Weight CORACA 0.0
Weight ARMCSA 1.0
Weight CORCSA 1.0
Weight ARMACSUB 1.0
Weight CORACSUB 1.0
Weight ARMACH 0.0
Weight CORACH 0.0
Weight ARMXCK 0.0
Weight CORXCK 0.0
Weight ARMXCV 0.0
Weight CORXCV 0.0
Weight ARMXCH 1.0
Weight CORXCH 1.0
Weight ARMXCA 0.0
Weight CORXCA 0.0
Weight ARMXCS 1.0
Weight CORXCS 1.0

//LIMITS

Limit NOAI 0
//ECONOMY LIMITS
Limit ARMSOLAR 0
Limit CORSOLAR 0
Limit ARMPOPSOL 0
Limit CORMGEN 0
Limit ARMESTOR 0
Limit CORESTOR 0
Limit ARMMSTOR 0
Limit CORMSTOR 0
Limit ARMTIDE 8
Limit CORTIDE 8
Limit ARMATIDE 16
Limit CORATIDE 16
Limit ARMUWES 8
Limit CORUWES 8
Limit ARMUWMS 0
Limit CORUWMS 0
Limit ARMWIN 0
Limit CORWIN 0
Limit ARMFUS 0
Limit CORFUS 0
Limit ARMMMKR 0
Limit CORMMKR 0
Limit ARMUWFUS 42
Limit CORUWFUS 42
Limit ARMUMMM 16
Limit CORUMMM 16
Limit ARMXFUS 0
Limit ARMXSTOR 0
Limit CORXFUS 0
Limit CORXSTOR 0
Limit ARMMEXUP 0
Limit CORMEXUP 0
Limit ARMUWMEXUP 13
Limit CORUWMEXUP 13
Limit ARMMOHOUP 0
Limit CORMOHOUP 0
Limit ARMUMOHOUP 8
Limit CORUMOHOUP 8
//LAB LIMITS
Limit ARMLAB 0
Limit CORLAB 0
Limit ARMVP 0
Limit CORVP 0
Limit ARMAP 0
Limit CORAP 0
Limit ARMSY 6
Limit CORSY 6
Limit ARMHP 0
Limit CORHP 0
Limit ARMHPNS 2
Limit CORHPNS 2
Limit ARMSPLAB 0
Limit CORTP 0
Limit ARMALAB 0
Limit CORALAB 0
Limit ARMAVP 0
Limit CORAVP 0
Limit ARMAAP 0
Limit CORAAP 0
Limit ARMASY 3
Limit CORASY 3
Limit ARMAHP 0
Limit CORAHP 0
Limit ARMAHPNS 1
Limit CORAHPNS 1
Limit ARMPLAT 2
Limit CORPLAT 2
Limit ARMSHLT 0
Limit CORGANT 0
Limit ARMXVP 0
Limit CORXVP 0
Limit ARMXAP 0
Limit CORXAP 0
Limit ARMXHP 0
Limit ARMXHPNS 1
Limit CORXHP 0
Limit CORXHPNS 1
Limit ARMXSY 2
Limit CORXSY 2
//DEFENSE STRUCTURE LIMITS
Limit ARMRAD 0
Limit CORRAD 0
Limit ARMSONAR 4
Limit CORSONAR 4
Limit ARMLLT 0
Limit CORLLT 0
Limit ARMRL 0
Limit CORRL 0
Limit ARMHLT 0
Limit CORHLT 0
Limit ARMGUARD 0
Limit CORPUN 0
Limit ARMEMG 0
Limit CORPLAS 0
Limit ARMFURY 0
Limit CORSCYTHE 0
Limit ARMMEDPC 0
Limit CORMPGUN 0
Limit ARMCENT 0
Limit CORBCRAT 0
Limit ARMFRT 6
Limit CORFRT 6
Limit ARMFHLT 3
Limit CORFHLT 3
Limit ARMARAD 0
Limit CORARAD 0
Limit ARMASON 4
Limit CORASON 4
Limit ARMAMD 0
Limit CORFMD 0
Limit ARMSILO 0
Limit CORSILO 0
Limit ARMEMP 0
Limit CORTRON 0
Limit ARMJAMT 0
Limit CORJAMT 0
Limit ARMARL 0
Limit CORARL 0
Limit ARMFLAK 0
Limit CORFLAK 0
Limit ARMANNI 0
Limit CORDOOM 0
Limit ARMBRTHA 0
Limit CORINT 0
Limit ARMARTIC 0
Limit CORVIPE 0
Limit ARMARCH 0
Limit CORCIRC 0
Limit ARMAMB 0
Limit ARMTRID 3
Limit CORKRAK 3
Limit CORTOAST 0
Limit ARMAARP 0
Limit CORAARP 0
Limit ARMATL 8
Limit CORATL 8
Limit ARMAFRT 8
Limit CORAFRT 8
Limit ARMXRAD 0
Limit CORXRAD 0
Limit ARMTARG 0
Limit CORTARG 0
Limit ARMDORA 0
Limit CORNATOR 0
Limit ARMVULC 0
Limit CORBUZZ 0
Limit ARMRAAMS 0
Limit CORSCRM 0
Limit ARMLPRIS 0
Limit CORDARK 0
//CON UNIT LIMITS
Limit ARMCK 0
Limit ARMCKAIM 0
Limit CORCK 0
Limit CORCKAIM 0
Limit ARMCV 0
Limit ARMCVAIM 0
Limit CORCV 0
Limit CORCVAIM 0 
Limit ARMCA 0
Limit ARMCAAIM 0
Limit CORCA 0
Limit CORCAAIM 0
Limit ARMCS 5
Limit CORCS 5
Limit ARMCH 3
Limit ARMCHAIM 5
Limit CORCH 3
Limit CORCHAIM 5
Limit ARMSPDC 0
Limit ARMSPDCAIM 0
Limit CORCTORT 0
Limit CORCTORTAIM 0
Limit ARMACK 0
Limit CORACK 0
Limit ARMACV 0
Limit CORACV 0
Limit ARMACA 0
Limit CORACA 0
Limit ARMCSA 5
Limit CORCSA 5
Limit ARMACSUB 5
Limit CORACSUB 5
Limit ARMACH 5
Limit CORACH 5
Limit ARMXCK 0
Limit CORXCK 0
Limit ARMXCV 0
Limit CORXCV 0
Limit ARMXCH 3
Limit CORXCH 3
Limit ARMXCA 0
Limit CORXCA 0
Limit ARMXCS 3
Limit CORXCS 3
//LEVEL 1 VEHICLE LIMITS
Limit ARMMLV 0
Limit CORMLV 0
//LEVEL 1 AIRCRAFT LIMITS
Limit ARMPEEP 0
Limit CORFINK 0
Limit ARMATLAS 0
Limit CORVALK 0
//LEVEL 1 SHIP LIMITS
Limit ARMTSHIP 0
Limit CORTSHIP 0
//LEVEL 1 SPIDER LIMITS
Limit ARMSPDR 0
Limit ARMSPDJ 0
Limit ARMARSPD 0
//LEVEL 1 TORTOISE LIMITS
Limit CORSCAN 0
Limit CORTJAM 0
Limit CORTNT 0
Limit CORAIRRT 0
//LEVEL 1 HOVER LIMITS
Limit ARMTHOVR 0
Limit CORTHOVR 0
//LEVEL 2 KBOT LIMITS
Limit ARMVADER 0
Limit CORROACH 0
Limit AMASER 0
Limit CORSPEC 0
Limit ARMMARK 0
Limit CORVOYR 0
Limit ARMSPY 0
Limit CORSPY 0
Limit ARMFARK 0
Limit CORNECRO 0
Limit ARMDECOM 2
Limit CORDECOM 2
//LEVEL 2 VEHICLE LIMITS
Limit ARMJAM 0
Limit CORETER 0
Limit ARMSEER 0
Limit CORVRAD 0
